tc_id,input_id,partition,http_code,oracle_pass,notes,response_file
TC01,abc,P1,000,true,,evidence/week4/TC01_response.json
TC02,1.5,P1,000,true,,evidence/week4/TC02_response.json
TC03,-1,P2,000,true,,evidence/week4/TC03_response.json
TC04,0,P2,000,true,,evidence/week4/TC04_response.json
TC05,1,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC05_response.json
TC06,2,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC06_response.json
TC07,999999,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC07_response.json
TC08,2147483647,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC08_response.json
TC09,0001,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC09_response.json
TC10,01,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC10_response.json
TC11,-2147483648,P2,000,true,,evidence/week4/TC11_response.json
TC12,999999999,P3,000,false,OR5_fail_unexpected_code;,evidence/week4/TC12_response.json
